
Connected to: Oracle Database 11g Enterprise Edition Release 11.2.0.1.0 - 64bit Production
With the Partitioning, OLAP, Data Mining and Real Application Testing options

Export file created by EXPORT:V11.02.00 via conventional path
import done in WE8MSWIN1252 character set and AL16UTF16 NCHAR character set
import server uses AL32UTF8 character set (possible charset conversion)
. importing NHPDWEB_OWNER's objects into NHPDWEB_OWNER
. . importing table        "ADMINISTRATION_ROUTES"         18 rows imported
. . importing table           "ADMINRTE_CITATIONS"          0 rows imported
. . importing table       "APPLICATION_PROPERTIES"          8 rows imported
. . importing table             "APPLICATION_TEXT"       2862 rows imported
. . importing table            "APPLICATION_TYPES"          9 rows imported
. . importing table                  "ATTACHMENTS"       1171 rows imported
. . importing table                "AUDIT_ENTRIES"          0 rows imported
. . importing table        "BIOLOGICAL_IMPURITIES"          0 rows imported
. . importing table                 "CHEM_CLASSES"          5 rows imported
. . importing table              "CHEM_SUBCLASSES"         60 rows imported
. . importing table                    "CITATIONS"       6318 rows imported
. . importing table            "CITATION_SPECIALS"          8 rows imported
. . importing table                  "CODED_RISKS"       1392 rows imported
. . importing table         "CODED_RISKS_SYNONYMS"          0 rows imported
. . importing table                 "COMMON_TERMS"         41 rows imported
. . importing table            "COMMON_TERM_TYPES"          9 rows imported
. . importing table          "CONSENCIT_CITATIONS"        163 rows imported
. . importing table  "CONTEXT_SENSITIVE_CITATIONS"        114 rows imported
. . importing table                    "COUNTRIES"        249 rows imported
. . importing table           "DIETARY_ALLOWANCES"          0 rows imported
. . importing table         "DOSAGEFORM_CITATIONS"          0 rows imported
. . importing table  "DOSAGEFORM_DOSAGEFORMGROUPS"        105 rows imported
. . importing table       "DOSAGEFORM_DOSAGEUNITS"        450 rows imported
. . importing table          "DOSAGEFORM_SYNONYMS"         47 rows imported
. . importing table                 "DOSAGE_FORMS"        125 rows imported
. . importing table     "DOSAGE_FORM_ADMIN_ROUTES"        291 rows imported
. . importing table           "DOSAGE_FORM_GROUPS"          7 rows imported
. . importing table "DOSAGE_FORM_GROUP_TEST_SPECS"          0 rows imported
. . importing table       "DOSAGE_FORM_TEST_SPECS"          0 rows imported
. . importing table                "DOSAGE_RANGES"          0 rows imported
. . importing table                 "DOSAGE_UNITS"         84 rows imported
. . importing table    "ENDANG_ORGANISM_COUNTRIES"          0 rows imported
. . importing table                   "ERROR_LOGS"          0 rows imported
. . importing table               "EVIDENCE_TYPES"          7 rows imported
. . importing table          "EX_ORG_GRP_FAMILIES"          0 rows imported
. . importing table            "EX_ORG_GRP_GENERA"          0 rows imported
. . importing table          "EX_ORG_GRP_ORGANISM"          0 rows imported
. . importing table           "EX_ORG_GRP_SPECIES"          0 rows imported
. . importing table           "EX_ORG_GRP_SUBTAXA"          0 rows imported
. . importing table                     "FAMILIES"        595 rows imported
. . importing table                       "GENERA"       1530 rows imported
. . importing table                "GENERIC_TEXTS"        684 rows imported
. . importing table  "GENERIC_TEXTS_ENG_CITATIONS"        191 rows imported
. . importing table   "GENERIC_TEXTS_FR_CITATIONS"        189 rows imported
. . importing table             "GEOGRAPHIC_AREAS"          9 rows imported
. . importing table "HOMEOPATHIC_COMMON_NAME_HGTS"      15848 rows imported
. . importing table        "HOMEOPATHIC_DILUTIONS"         11 rows imported
. . importing table         "HOMEOPATHIC_FORMULAS"       3844 rows imported
. . importing table    "HOMEOPATHIC_GENERIC_TEXTS"      31486 rows imported
. . importing table      "HOMEOPATHIC_METHOFPREPS"       4478 rows imported
. . importing table "HOMEOPATHIC_PREPARATION_TYPES"         79 rows imported
. . importing table "HOMEOPATHIC_PROPER_NAME_HGTS"       7922 rows imported
. . importing table  "HOMEOPATHIC_SOURCE_MAT_HGTS"       7665 rows imported
. . importing table                  "ICH_CLASSES"          4 rows imported
. . importing table       "ICH_CLASS_TEST_METHODS"          0 rows imported
. . importing table                   "IMPURITIES"          0 rows imported
. . importing table            "IMPURITY_SPECIALS"          0 rows imported
. . importing table        "IMPURITY_TEST_METHODS"          0 rows imported
. . importing table                  "INDICATIONS"          0 rows imported
. . importing table      "INDICATION_ADMIN_ROUTES"          0 rows imported
. . importing table             "INDICATION_TYPES"          3 rows imported
. . importing table                  "INGREDIENTS"      16390 rows imported
. . importing table    "INGREDIENT_BIO_IMPURITIES"          0 rows imported
. . importing table        "INGREDIENT_CATEGORIES"         10 rows imported
. . importing table        "INGREDIENT_IMPURITIES"          0 rows imported
. . importing table "INGREDIENT_INGRED_IMPURITIES"          0 rows imported
. . importing table    "INGREDIENT_NAME_SEARCH_MV"      91971 rows imported
. . importing table "INGREDIENT_NAME_SEARCH_WS_MV"      91971 rows imported
. . importing table "INGREDIENT_NHPCLASSIFICATIONS"       5859 rows imported
. . importing table       "INGREDIENT_ORGANISM_MV"       4822 rows imported
. . importing table          "INGREDIENT_ORGPARTS"       5107 rows imported
. . importing table        "INGREDIENT_ORGPART_MV"      18753 rows imported
. . importing table         "INGREDIENT_PREPTYPES"      11780 rows imported
. . importing table      "INGREDIENT_QUALSYNO_CNS"      22784 rows imported
. . importing table      "INGREDIENT_QUALSYNO_PNS"      14839 rows imported
. . importing table      "INGREDIENT_QUALSYNO_QSS"      32545 rows imported
. . importing table       "INGREDIENT_REG_ENTRIES"        998 rows imported
. . importing table             "INGREDIENT_ROLES"      16497 rows imported
. . importing table     "INGREDIENT_ROLE_PURPOSES"      11286 rows imported
. . importing table           "INGREDIENT_SOURCES"          3 rows imported
. . importing table          "INGREDIENT_SPECIALS"          6 rows imported
. . importing table    "INGREDIENT_STD_GRADE_REFS"          0 rows imported
. . importing table    "INGREDIENT_SUBINGREDIENTS"       1229 rows imported
. . importing table          "INGREDIENT_SYNONYMS"          0 rows imported
. . importing table       "INGREDIENT_SYNONYMS_MV"      17143 rows imported
. . importing table      "INGREDIENT_TEST_METHODS"          0 rows imported
. . importing table        "INGREDIENT_TEST_SPECS"          0 rows imported
. . importing table          "IN_ORG_GRP_FAMILIES"        132 rows imported
. . importing table            "IN_ORG_GRP_GENERA"         28 rows imported
. . importing table          "IN_ORG_GRP_ORGANISM"       5235 rows imported
. . importing table           "IN_ORG_GRP_SPECIES"        460 rows imported
. . importing table           "IN_ORG_GRP_SUBTAXA"          0 rows imported
. . importing table             "ITS_NHPID_ISSUES"          0 rows imported
. . importing table                         "LOGS"       9944 rows imported
. . importing table                  "LOG_DETAILS"       1545 rows imported
. . importing table           "MANUFACT_PROCESSES"          0 rows imported
. . importing table  "MANUFACT_PROCESS_IMPURITIES"          0 rows imported
. . importing table "MANUFACT_PROCESS_INGREDIENTS"          0 rows imported
. . importing table    "MANUFACT_PROC_BIO_IMPURTS"          0 rows imported
. . importing table                 "MEDDRA_HLGTS"          0 rows imported
. . importing table             "MEDDRA_HLGT_HLTS"          0 rows imported
. . importing table                  "MEDDRA_HLTS"          0 rows imported
. . importing table               "MEDDRA_HLT_PTS"          0 rows imported
. . importing table                  "MEDDRA_LLTS"          0 rows imported
. . importing table            "MEDDRA_PREF_TERMS"          0 rows imported
. . importing table                   "MEDDRA_PTS"          0 rows imported
. . importing table                  "MEDDRA_SOCS"          0 rows imported
. . importing table             "MEDDRA_SOC_HLGTS"          0 rows imported
. . importing table "MONODOSECOMB_MONOSRCORGPARTS"          0 rows imported
. . importing table        "MONODOSECOMB_MONOUSES"         15 rows imported
. . importing table     "MONODOSE_MONOSRCORGPARTS"          9 rows imported
. . importing table   "MONODOSE_MONOSUBIDOSECOMBS"          6 rows imported
. . importing table  "MONODRFRUSE_MONOSRCORGPARTS"          0 rows imported
. . importing table "MONODURATION_MONOSRCORGPARTS"          0 rows imported
. . importing table                   "MONOGRAPHS"       2590 rows imported
. . importing table     "MONOGRAPH_CITATION_JOINS"      14433 rows imported
. . importing table "MONOGRAPH_DIRECTIONS_FOR_USES"        317 rows imported
. . importing table          "MONOGRAPH_DOSECOMBS"        772 rows imported
. . importing table              "MONOGRAPH_DOSES"        722 rows imported
. . importing table     "MONOGRAPH_DOSE_CITATIONS"       2090 rows imported
. . importing table      "MONOGRAPH_DOSE_GENTEXTS"          0 rows imported
. . importing table     "MONOGRAPH_DOSE_MONO_DFUS"        581 rows imported
. . importing table     "MONOGRAPH_DOSE_MONO_USES"        225 rows imported
. . importing table "MONOGRAPH_DOSE_NOTE_GENTEXTS"        231 rows imported
. . importing table      "MONOGRAPH_DOSE_ORGPARTS"          0 rows imported
. . importing table  "MONOGRAPH_DRFRUSE_CITATIONS"        269 rows imported
. . importing table   "MONOGRAPH_DRFRUSE_GENTEXTS"          0 rows imported
. . importing table  "MONOGRAPH_DRFRUSE_MONO_USES"         52 rows imported
. . importing table   "MONOGRAPH_DRFRUSE_ORGPARTS"          0 rows imported
. . importing table          "MONOGRAPH_DURATIONS"        224 rows imported
. . importing table "MONOGRAPH_DURATION_CITATIONS"        264 rows imported
. . importing table  "MONOGRAPH_DURATION_GENTEXTS"          0 rows imported
. . importing table  "MONOGRAPH_DURATION_ORGPARTS"          0 rows imported
. . importing table     "MONOGRAPH_DUR_MONOGRAPHS"        162 rows imported
. . importing table      "MONOGRAPH_DUR_MONO_USES"        242 rows imported
. . importing table            "MONOGRAPH_ENTRIES"       3836 rows imported
. . importing table "MONOGRAPH_ENTRIES_COMMONNAMES"          0 rows imported
. . importing table   "MONOGRAPH_ENTRIES_ORGPARTS"          0 rows imported
. . importing table "MONOGRAPH_ENTRIES_PREPTYPEGRPS"        197 rows imported
. . importing table  "MONOGRAPH_ENTRIES_PREPTYPES"         42 rows imported
. . importing table "MONOGRAPH_ENTRIES_SRC_INGREDS"          0 rows imported
. . importing table "MONOGRAPH_ENTRY_GENERIC_TEXTS"          0 rows imported
. . importing table "MONOGRAPH_ENTRY_QUALSYNO_CNS"        789 rows imported
. . importing table "MONOGRAPH_ENTRY_QUALSYNO_PNS"        241 rows imported
. . importing table      "MONOGRAPH_GENERIC_TEXTS"          0 rows imported
. . importing table  "MONOGRAPH_GEN_NOTE_GENTEXTS"        115 rows imported
. . importing table             "MONOGRAPH_GROUPS"         41 rows imported
. . importing table    "MONOGRAPH_MONOGRAPH_TYPES"       2513 rows imported
. . importing table  "MONOGRAPH_NMI_NOTE_GENTEXTS"          3 rows imported
. . importing table             "MONOGRAPH_PHASES"          3 rows imported
. . importing table   "MONOGRAPH_PHASE_MONOGRAPHS"          0 rows imported
. . importing table "MONOGRAPH_PHASE_MONO_DURATIONS"          2 rows imported
. . importing table       "MONOGRAPH_PREPARATIONS"        221 rows imported
. . importing table "MONOGRAPH_RISKSTMT_CITATIONS"       1269 rows imported
. . importing table  "MONOGRAPH_RISKSTMT_GENTEXTS"          0 rows imported
. . importing table  "MONOGRAPH_RISKSTMT_ORGPARTS"          0 rows imported
. . importing table    "MONOGRAPH_RISK_MONOGRAPHS"       1000 rows imported
. . importing table "MONOGRAPH_RISK_NOTE_GENTEXTS"          2 rows imported
. . importing table   "MONOGRAPH_RISK_SRC_INGREDS"          0 rows imported
. . importing table         "MONOGRAPH_RISK_STMTS"       1392 rows imported
. . importing table      "MONOGRAPH_ROA_CITATIONS"         69 rows imported
. . importing table   "MONOGRAPH_ROA_DOSAGE_FORMS"        164 rows imported
. . importing table       "MONOGRAPH_ROA_GENTEXTS"        307 rows imported
. . importing table      "MONOGRAPH_ROUTEOFADMINS"        309 rows imported
. . importing table  "MONOGRAPH_RSKSTMT_MONO_USES"        123 rows imported
. . importing table "MONOGRAPH_SPEC_INFO_GENTEXTS"        186 rows imported
. . importing table "MONOGRAPH_STOR_COND_GENTEXTS"         31 rows imported
. . importing table        "MONOGRAPH_SUBINGCOMBS"          5 rows imported
. . importing table        "MONOGRAPH_SUBINGDOSES"          5 rows imported
. . importing table   "MONOGRAPH_SUBING_DOSECOMBS"          7 rows imported
. . importing table    "MONOGRAPH_SUB_POPULATIONS"        486 rows imported
. . importing table        "MONOGRAPH_SYNONYMS_MV"       3836 rows imported
. . importing table              "MONOGRAPH_TYPES"          6 rows imported
. . importing table               "MONOGRAPH_USES"       1705 rows imported
. . importing table    "MONOGRAPH_USES_MONOGRAPHS"       1651 rows imported
. . importing table      "MONOGRAPH_USE_CITATIONS"       2594 rows imported
. . importing table       "MONOGRAPH_USE_GENTEXTS"          0 rows imported
. . importing table       "MONOGRAPH_USE_ORGPARTS"          0 rows imported
. . importing table     "MONORISK_MONOSRCORGPARTS"          3 rows imported
. . importing table  "MONOSBINGDCMBS_MONOSBINGDSS"          7 rows imported
. . importing table     "MONOUSE_DOSAGEFORMGROUPS"          2 rows imported
. . importing table      "MONOUSE_MONOSRCORGPARTS"         33 rows imported
. . importing table     "MONO_DOSECOMB_MONO_DOSES"        824 rows imported
. . importing table "MONO_ENTRIES_TXT_MONOSOURCES"        181 rows imported
. . importing table    "MONO_ENTRY_MONOSRCINGREDS"          0 rows imported
. . importing table   "MONO_ENTRY_MONOSRCORGPARTS"        186 rows imported
. . importing table    "MONO_ENTRY_MONO_DOSECOMBS"        230 rows imported
. . importing table    "MONO_PHASE_MONO_DOSECOMBS"          3 rows imported
. . importing table      "MONO_SOURCE_INGREDIENTS"         38 rows imported
. . importing table         "MONO_SOURCE_ORGPARTS"        300 rows imported
. . importing table     "MONO_SRCINGRED_CITATIONS"         45 rows imported
. . importing table    "MONO_SRCORGPART_CITATIONS"        542 rows imported
. . importing table       "NHPSAS_INGREDIENT_SYNC"      17672 rows imported
. . importing table          "NHP_CLASSIFICATIONS"         13 rows imported
. . importing table     "NHP_CLASS_BIO_IMPURITIES"          0 rows imported
. . importing table  "NHP_CLASS_IDNT_TEST_METHODS"          0 rows imported
. . importing table         "NHP_CLASS_IMPURITIES"          0 rows imported
. . importing table        "NHP_CLASS_INGREDIENTS"          0 rows imported
. . importing table   "NHP_CLASS_QTY_TEST_METHODS"          0 rows imported
. . importing table          "NHP_STAGE_MAT_VIEWS"         19 rows imported
. . importing table          "NHP_STAGE_SEQUENCES"        106 rows imported
. . importing table             "NHP_STAGE_TABLES"        290 rows imported
. . importing table                    "ORGANISMS"       2826 rows imported
. . importing table      "ORGANISM_CONSTITUENT_MV"       4035 rows imported
. . importing table           "ORGANISM_COUNTRIES"         11 rows imported
. . importing table    "ORGANISM_GEOGRAPHIC_AREAS"       3479 rows imported
. . importing table              "ORGANISM_GROUPS"       4973 rows imported
. . importing table               "ORGANISM_PARTS"       5229 rows imported
. . importing table "ORGANISM_PART_SUBINGREDIENTS"       4035 rows imported
. . importing table          "ORGANISM_PART_TYPES"        382 rows imported
. . importing table   "ORGANISM_QUALIFIEDSYNONYMS"       5632 rows imported
. . importing table            "ORGANISM_SYNONYMS"          0 rows imported
. . importing table               "ORGANISM_TYPES"         45 rows imported
. . importing table         "ORGANISM_TYPE_GROUPS"          6 rows imported
. . importing table "ORGANISM_TYPE_GRP_ORGPARTTYPES"        391 rows imported
. . importing table         "ORGPARTTYPE_SYNONYMS"        205 rows imported
. . importing table      "ORGPART_CONSTITUENTS_MV"       5229 rows imported
. . importing table       "ORGPART_CONSTITUENT_MV"       4035 rows imported
. . importing table         "ORGPART_GROUPNAME_MV"        145 rows imported
. . importing table          "ORGPART_ORGANISM_MV"       5084 rows imported
. . importing table          "ORGPART_PARTTYPE_MV"       5229 rows imported
. . importing table                  "PERMISSIONS"         54 rows imported
. . importing table            "PREPARATION_RULES"          0 rows imported
. . importing table            "PREPARATION_TYPES"        149 rows imported
. . importing table      "PREPARATION_TYPE_GROUPS"         72 rows imported
. . importing table           "PREPRULES_SOLVENTS"          0 rows imported
. . importing table           "PREPTYPES_SOLVENTS"         36 rows imported
. . importing table      "PREPTYPE_PREPTYPEGROUPS"        345 rows imported
. . importing table                "PRODUCT_TYPES"          0 rows imported
. . importing table             "PROVINCES_STATES"         64 rows imported
. . importing table           "PUBLISHED_JOURNALS"      20647 rows imported
. . importing table                     "PURPOSES"        120 rows imported
. . importing table             "PURPOSE_ADMINRTS"        218 rows imported
. . importing table             "PURPOSE_SYNONYMS"         24 rows imported
. . importing table           "PURPOSE_TEST_SPECS"          0 rows imported
. . importing table  "QUALIFIEDSYNONYM_REFERENCES"      41366 rows imported
. . importing table "QUALIFIEDSYNONYM_REFERENCES_MV"      42396 rows imported
. . importing table           "QUALIFIED_SYNONYMS"      42396 rows imported
. . importing table     "QUALITY_TOLERANCE_MODELS"          0 rows imported
. . importing table                   "RATIONALES"       5735 rows imported
. . importing table "RECOMMENDED_DIETARY_ALLOWANCES"          0 rows imported
. . importing table                "REFERENCES_MV"       1474 rows imported
. . importing table                         "REFS"       1474 rows imported
. . importing table             "REGISTRY_ENTRIES"       6643 rows imported
. . importing table  "RELATEDSOURCEINGREDIENTS_MV"       1227 rows imported
